Region,Pollution Ranking,Country,Year,PM2.5,CFR,Rainfall,RH,Temp,Urban,Pop density,Obesity%,Diabetes,Hypertension%,oldage,GDP
Asia,7,Nepal,2021,44.2,0.251256281,311.37,43.73,20,21.451,201.756,4.1,8.7,36,9.796389,40908.07337
Asia,7,Nepal,2024,42.4,0.170089032,356.52,44.57,20.37,21.451,201.756,4.1,8.7,36,9.796389,40908.07337
Latin America,48,Peru,2024,27.1,0.19226,367.44,79.21,11.2,78.708,26.44,29.47,8.8,41,13.481281,267603.2487
Latin America,48,Peru,2023,28.8,0.160815675,414.04,79.77,10.76,78.708,26.44,29.47,8.8,41,13.481281,267603.2487
Latin America,48,Peru,2020,27.9,0.156044969,475.66,80.57,10.38,78.708,26.44,29.47,8.8,41,13.481281,267603.2487
Latin America,48,Peru,2022,28.5,0.115303839,402.95,77.97,10.16,78.708,26.44,29.47,8.8,41,13.481281,267603.2487
Latin America,48,Peru,2021,29.6,0.079149247,480.04,80.68,10.09,78.708,26.44,29.47,8.8,41,13.481281,267603.2487
Asia,74,Phillipines,2020,12.8,0.389633816,638.9,73.89,17.19,47.977,382.971,6.4,7.1,34,7.9569736,3805
Asia,74,Phillipines,2021,15.6,0.354183715,535.33,72.57,17.02,47.977,382.971,6.4,7.1,34,7.9569736,3805
Asia,74,Phillipines,2023,13.5,0.335884419,565.5,75.08,17.95,47.977,382.971,6.4,7.1,34,7.9569736,3805
Asia,74,Phillipines,2022,14.9,0.325455107,451.34,73.29,18.41,47.977,382.971,6.4,7.1,34,7.9569736,3805
Asia,74,Phillipines,2024,14.8,0.32,897.53,77.04,17.91,47.977,382.971,6.4,7.1,34,7.9569736,3805
Asia,94,Singapore,2024,11.4,0.109849872,5164.6,86.02,27.84,100,8475.973,6.1,11.6,32,17.407629,501427.5001
Asia,94,Singapore,2021,13.8,0.095328885,4281.8,85.09,27.02,100,8475.973,6.1,11.6,32,17.407629,501427.5001
Asia,94,Singapore,2020,11.8,0.090751822,2457.52,84.69,27.28,100,8475.973,6.1,11.6,32,17.407629,501427.5001
Asia,94,Singapore,2023,13.4,0.062092518,5657.72,85.58,27.51,100,8475.973,6.1,11.6,32,17.407629,501427.5001
Asia,94,Singapore,2022,13.3,0.059576069,4054.15,85.16,27.13,100,8475.973,6.1,11.6,32,17.407629,501427.5001
